alpha,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1.0,0.83797,0.50493,0.58993,0.50834,0.93696,0.83797,0.88052
0.1,0.92474,0.46017,0.52691,0.47118,0.94865,0.92474,0.93574
0.01,0.94198,0.48299,0.51756,0.49066,0.95096,0.94198,0.94611
0.001,0.94878,0.50768,0.52531,0.51285,0.95042,0.94878,0.94933
0.0001,0.94899,0.61562,0.63055,0.61964,0.95033,0.94899,0.9494
1e-05,0.949,0.6594,0.6719,0.66216,0.95028,0.949,0.94938
1e-06,0.94898,0.6594,0.67188,0.66215,0.95026,0.94898,0.94936
1e-07,0.94898,0.6594,0.67188,0.66215,0.95026,0.94898,0.94936
1e-08,0.94898,0.6594,0.67188,0.66215,0.95026,0.94898,0.94936
1e-09,0.94898,0.6594,0.67188,0.66215,0.95026,0.94898,0.94936
